id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,away_total,away_total_lastN,away_away,away_away_lastN,home_total,home_total_lastN,home_home,home_home_lastN
270203019,2,away,,,,-1.1075137565,-7.38519243314,-2.28333333334,-1.44444444444,-2.30910364146,-0.373287671233,-3.52949681897,-2.42810457516
270203021,2,away,,,,-2.18599439776,-0.166666666667,5.53852813852,3.72222222222,3.8746031746,1.78531073446,5.33571428571,5.33333333333
270203022,2,away,,,,5.27287356321,10.0158730159,1.25104895105,2.29365079365,-1.52548562548,-0.904761904762,2.17727272728,1.83333333333
270203023,2,home,,,,-4.23269284322,-2.16666666667,3.88636363637,3.66666666667,-3.20221861473,-3.29802259887,-2.90516934046,-2.07142857143
270203027,2,away,,,,-4.30123696338,-3.80992736077,-2.72430184195,-2.48230706076,2.07513368984,1.56678496799,3.65452602953,3.1512605042
270203029,2,away,,,,3.09795536005,3.95197740113,-1.61363636363,-1.7380952381,0.525645645649,-0.623287671233,-2.20924470267,-1.0987394958
270203030,2,home,,,,-0.470813492061,1.83333333333,-2.06919191919,-2.75,1.77940470835,-1.0,-3.63369963371,-4.65476190476
270203006,2,home,,,,0.977167182662,4.27777777778,-0.879487179487,-0.928571428571,2.10976378856,1.52380952381,3.35986790987,3.95357142857
270203010,2,away,,,,2.0740404523,1.35714285714,,,3.19171122596,2.66666666667,-0.16791101056,0.152450980392
270203015,2,away,,,,-1.09609665188,-2.58333333333,-4.28744722769,-4.91666666667,-2.469143792,-5.2899543379,-6.91794871795,-5.94397759104
270204017,2,away,,,,-0.264377289373,-0.404761904762,1.80658263306,1.80459770115,0.348055555553,-3.16666666667,1.8011988012,1.91666666667
270204028,2,home,,,,2.1949944792,1.45197740113,4.0,4.56650246305,2.38923378477,3.6186440678,1.32717282717,1.02777777778
270204005,2,away,,,,1.38719939481,2.15476190476,1.39437621201,2.38888888889,0.474948240164,0.7100456621,-4.97440476191,-6.27731092437
270205001,2,away,,,,-0.872665534805,-0.476594027441,1.94236482472,6.54269293924,-0.534377289372,-0.0714285714286,-6.73333333334,-4.9880952381
270205007,2,away,,,,2.58793650794,0.118644067797,10.119047619,46.3333333333,-5.14142300195,-2.66666666667,-2.54603174603,-0.960317460317
270205011,2,away,,,,-3.12907679739,-1.5,-3.04141414141,-2.75,2.57717613927,2.8805488297,3.10476190476,4.08333333333
270205020,2,home,,,,-0.249003267976,-3.5,2.8,0.404761904762,-1.19614570615,-1.16666666667,-4.87626262627,-4.75
270205023,2,home,,,,3.14741001752,3.2619047619,1.00555555556,0.761904761905,-2.81531385282,-1.91666666667,-0.127391562684,-0.404761904762
270205026,2,home,,,,5.4671592775,10.3492063492,2.48181818182,3.40476190476,5.12511671336,10.2777777778,-6.30248917749,-36.6666666667
270205027,2,home,,,,-1.6858974359,-1.21852576647,-1.38223443223,-1.24325396825,1.64656226127,0.190072639225,1.09897047397,-0.182072829132
270205010,2,home,,,,2.3653250774,6.48782343988,-0.73663003663,-0.525,2.78644806807,4.33333333333,-2.2512443439,-8.64166666667
270205014,2,home,,,,0.859404708355,-1.83333333333,4.32954545456,7.90476190476,0.476973955669,-0.964689265537,2.35653235653,2.92857142857
270206015,2,home,,,,-3.47380952381,-1.75,1.01488095237,-1.20634920635,-3.42432586483,-6.66666666667,-6.78461538461,-5.1106442577
270206022,2,away,,,,2.95339105339,1.0,5.53571428571,7.0,-1.65084175084,-0.666666666667,1.17727272727,1.83333333333
270206029,2,away,,,,1.35875576037,2.25,9.07749766572,7.14166666667,-2.31435435435,-2.62328767123,-3.15469924812,-1.89285714286
270206008,2,home,,,,-4.26385093168,-4.02380952381,-3.59775641026,-4.77777777778,3.44553272814,3.4880952381,-1.23336663337,-0.960317460317
270206018,2,home,,,,0.327570236778,-0.476594027441,2.75555555555,3.70935960591,0.27127412229,-6.83333333333,-0.159784659785,0.0560224089636
270207001,2,away,,,,-3.6712254902,-6.0,1.61904761906,-0.666666666667,1.19506568145,-0.0714285714286,-5.63333333334,-4.15476190476
270207005,2,home,,,,0.0942369034448,0.356739305892,-0.52777777778,0.947454844007,-0.625051759835,-0.623287671233,-4.11726190476,-2.94397759104
270207007,2,away,,,,-0.154344368451,1.2619047619,-0.396153846149,-0.333333333333,-4.26169327222,-2.25,-3.56563958917,-2.16619981326
270207011,2,away,,,,-3.34198209198,-2.31376386171,-1.36001221001,-1.24325396825,0.395357957455,-0.952784503632,-0.995238095237,-0.916666666667
270207016,2,home,,,,-2.44653711485,-1.5,-0.676334776336,-0.166666666667,0.779118180851,4.32115677321,-2.37171717172,-3.38095238095
270207020,2,home,,,,0.87304107199,-0.5,4.13257575759,8.14285714286,0.400008140005,1.0,-5.05158730159,-4.41666666667
270207027,2,away,,,,0.555043103447,-0.361382909328,4.21948621555,3.45539135194,0.713228927935,-0.143260694108,0.684829059832,-0.585644257703
270207028,2,home,,,,-3.28333333333,-9.17857142857,0.302380952372,-2.09523809524,2.81347620901,5.28531073446,2.73626373626,3.52777777778
